Date,Forecast Mean,Forecast Std Dev
2015-01-01,0.25782695359566404,0.013376464840869044
2015-02-01,0.2508893365070965,0.012879278118535628
2015-03-01,0.24055924011788601,0.013064222634673751
2015-04-01,0.23996268325872683,0.012273021665700476
2015-05-01,0.24903513620024015,0.012726846396496586
2015-06-01,0.25387462810902056,0.012922509517282259
2015-07-01,0.25895116693081655,0.013422429408741143
2015-08-01,0.27566794853747767,0.012923441932537333
2015-09-01,0.2778236828089797,0.012093013597593748
2015-10-01,0.266979939893485,0.012728987418737873
2015-11-01,0.2640446175862927,0.012721832179750729
2015-12-01,0.2609477487067823,0.012782483277369094
2016-01-01,0.26142337807940746,0.013268789243586453
2016-02-01,0.25109108296478594,0.012405309473429004
2016-03-01,0.250520915754278,0.012970730673856304
2016-04-01,0.24748764553868574,0.013690763467164658
2016-05-01,0.23927454082206173,0.013179448211831148
2016-06-01,0.25230129612659224,0.012481556956755548
2016-07-01,0.2561413788367137,0.01300227024495217
2016-08-01,0.2693068906774102,0.012904185067649768
2016-09-01,0.27509479466833775,0.012643923807649905
2016-10-01,0.27594898999329365,0.01358889181860758
2016-11-01,0.26764827342805714,0.013023698080032528
2016-12-01,0.2584129385490812,0.012644052398259923
2017-01-01,0.24526220321427006,0.012594653816856878
2017-02-01,0.24471012254546118,0.013548643568515678
2017-03-01,0.24546148788574007,0.01411409987367997
2017-04-01,0.24309867703092644,0.01271566170191036
2017-05-01,0.24066335364671898,0.012912991283817692
2017-06-01,0.25103216592534155,0.013358207217674764
2017-07-01,0.2552730966123554,0.013234150376830671
2017-08-01,0.26966509112470216,0.012598938450862775
2017-09-01,0.27430061320436877,0.013480479752387637
2017-10-01,0.27119281725903416,0.01243504204502477
2017-11-01,0.26458014768511123,0.013507221781561269
2017-12-01,0.25735334885938616,0.012581261186287298
2018-01-01,0.24884425760193926,0.013453614238369936
2018-02-01,0.24516930734933687,0.013151887432739987
2018-03-01,0.24034778353121927,0.013218366939393595
2018-04-01,0.2387983124821209,0.012811138442497804
2018-05-01,0.2421277380762107,0.012857544147819925
2018-06-01,0.24976771291432662,0.013376795100019887
2018-07-01,0.2544215527011004,0.013383113386682147
2018-08-01,0.2699982916587092,0.012939003718726898
2018-09-01,0.27342300221180454,0.013840603552164526
2018-10-01,0.26641498389346424,0.012446804378611412
2018-11-01,0.2615920417071457,0.013572712813291884
2018-12-01,0.2564136036492413,0.014057935372883528
2019-01-01,0.2524489665286731,0.01327497884897194
2019-02-01,0.24551342475405152,0.013561895928209706
2019-03-01,0.23518520437517193,0.013355023025738665
2019-04-01,0.2345907262214048,0.012833404346728316
