Year,Month,Mean_Width_Meters,StdDev_Width_Meters
2016,1,763.5109003566613,330.86266234135445
2016,2,779.8654526596869,323.54269800484445
2016,3,769.5658292346667,330.31060461312927
2016,4,767.8262779495949,346.1206616444674
2016,5,770.7977474165483,335.7233100133286
2016,6,778.3638465526662,336.0411631154843
2016,7,766.3197429977141,335.7232720726657
2016,8,777.4099511031256,347.71991393330035
2016,9,745.0114422519496,345.28374594515105
2016,10,769.3307927569821,334.2594639848869
2016,11,767.3723920729298,334.78685439320077
2016,12,763.6711485203874,333.82730684149567
2017,1,784.3420567781942,334.9191292765778
2017,2,764.1215942294667,337.2309113185156
2017,3,765.644850962574,336.1637603217183
2017,4,780.1566621722485,338.9059041958335
2017,5,771.4220596232456,345.1314967289627
2017,6,771.0045383248734,341.91242516127636
2017,7,776.3588803645457,346.8043652257944
2017,8,782.0400351558532,339.26933555333966
2017,9,777.1760306374352,343.6177400459503
2017,10,783.9138908224139,340.5553349243152
2017,11,767.7230044166332,351.88604169127314
2017,12,767.9341811000941,338.2938380487764
2018,1,763.1030246495357,345.30046777149386
2018,2,763.5509899526498,342.34063889893827
2018,3,763.2683714698913,363.98784698240706
2018,4,756.5047537404589,346.6926576224905
2018,5,766.1256768738592,348.61221394306165
2018,6,760.1746043175075,349.9994890272256
2018,7,772.9665930121705,348.7290677898866
2018,8,767.8367171174193,343.69507391023353
2018,9,771.1799356304509,339.85569946456656
2018,10,764.0937908317972,343.92601723491856
2018,11,764.7703539132493,349.42387973614655
2018,12,738.7140756759679,351.9488350158638
2019,1,762.8388135078051,344.8661157918295
2019,2,752.8297626653604,336.182076389431
2019,3,771.5354992464664,343.9235428796145
2019,4,768.5676699747271,332.52096177672166
2019,5,770.9733763536177,341.756374951961
2019,6,774.79211788046,339.08654787106565
2019,7,765.8897354438684,344.8138650964805
2019,8,774.9055442792642,343.30796831138633
2019,9,766.6242468296269,339.8140688048283
2019,10,776.8581163978095,338.6016379836502
2019,11,773.3571863192774,338.90332115492464
2019,12,765.986974928139,338.21925912049727
2020,1,775.0575604690275,338.97654810497056
2020,2,779.0595855929986,336.19201206789
2020,3,782.8170381166419,331.76579041035666
2020,4,771.3991302072334,339.0951713245363
2020,5,776.5093904190092,337.82015905265956
2020,6,768.34175707616,346.07146806028305
2020,7,771.8121261831909,339.1591828857059
2020,8,777.5049208925026,342.185455541632
2020,9,771.1233692364692,340.2540633274749
2020,10,775.2996143401078,340.7008685346077
2020,11,772.7240172551137,335.44069084484937
2020,12,774.5220951738779,339.7867799628299
2021,1,768.4119801294628,338.80643440713493
2021,2,775.8380575960098,336.87513444719275
2021,3,771.0490000322941,334.84933075796107
2021,4,771.1261206830277,337.8114906626758
2021,5,779.989540603242,338.1296231599395
2021,6,780.1952842791006,336.5609186858945
2021,7,774.0368683081068,341.72291601689165
2021,8,778.8048168274828,342.7014319368568
2021,9,767.813377722474,345.18633486723695
2021,10,777.5389220070741,341.8326565363203
2021,11,772.2477556954265,342.75905650919583
2021,12,771.307974973382,342.7476608883803
2022,1,768.3461232064495,338.76140167596657
2022,2,762.2006331805425,347.7493333850474
2022,3,754.6636465904332,350.8593660709721
2022,4,770.3279355025142,343.5718413722177
2022,5,755.5808751311581,346.8568561376467
2022,6,773.0096455879778,349.3286027918725
2022,7,678.7639665616641,313.79667081627235
2022,8,774.2683644513551,345.85659229399965
2022,9,768.2977203026114,346.8693942839159
2022,10,760.9499378899142,341.37580968139
2022,11,765.2542895269249,345.80230506919247
2022,12,767.0060991544124,345.28454224813396
2023,1,742.8025134352516,343.2317688434833
2023,2,755.835203780528,345.65044242115766
2023,3,764.0662996672511,336.7137459491493
2023,4,757.881691080682,338.5025125221175
2023,5,759.2316217818532,335.9576437578413
2023,6,768.3258246288449,338.48928618934826
2023,7,773.1252083926372,340.2138138425472
2023,8,776.3644480303298,339.26251532274216
2023,9,771.2670403226126,341.1286767975085
2023,10,769.9296979683494,343.3468796245537
2023,11,766.9602729541806,341.37470202813233
2023,12,771.6085627616883,336.65600865279225
2024,1,637.508147801668,330.799767651823
2024,2,753.8628939016508,347.7951457247525
2024,3,750.2840760851155,346.11367577687895
2024,4,767.7855065095707,345.7611824379419
2024,5,782.0896992315973,343.36089867275206
2024,6,769.4056663735607,343.49662450819005
2024,7,654.6282479993729,332.5479339781673
2024,8,766.8671203929574,349.6097179549464
2024,9,763.6052599454893,350.1699341460761
2024,10,760.112909353183,340.88359687301374
2024,11,768.6672459629867,335.2362850951797
2024,12,760.0931208842962,342.67571127563764
