0.000000	0.000000
0.555553	-0.832292
1.123130	-1.655833
1.759523	-2.427672
2.442663	-3.158540
3.173509	-3.841969
3.931371	-4.495390
4.666500	-5.173439
5.009926	-6.052779
4.946773	-7.050260
4.610013	-7.987675
4.153304	-8.877282
3.678922	-9.756752
3.149542	-10.605541
2.573501	-11.423785
1.989451	-12.236197
1.363363	-13.015573
0.723575	-13.781287
0.149492	-14.597751
-0.449446	-15.398205
-1.076418	-16.177602
-1.670203	-16.981234
-2.255742	-17.792179
-2.785974	-18.640391
-3.379973	-19.443617
-3.968221	-20.250779
-4.463324	-21.119203
-4.534390	-22.094059
-4.532433	-23.094340
-4.452411	-24.088203
-4.289989	-25.075012
-4.055726	-26.046442
-3.719887	-26.986032
-3.083605	-27.719926
-2.276780	-28.311858
-1.469955	-28.903790
-0.663130	-29.495722
0.293067	-29.778664
1.263139	-30.023507
2.253388	-30.167579
3.231370	-30.372118
4.195656	-30.639409
5.150666	-30.937115
6.091713	-31.277381
7.023460	-31.641702
7.937797	-32.047990
8.847928	-32.463883
9.725505	-32.944628
10.591871	-33.445386
11.446396	-33.965486
12.279355	-34.519934
13.107165	-35.082144
13.891363	-35.702927
14.623982	-36.384537
15.347436	-37.075652
16.030912	-37.805919
16.624079	-38.609591
17.181616	-39.440442
17.667659	-40.314478
18.069793	-41.230064
18.421944	-42.166674
18.732020	-43.117944
18.969602	-44.089273
19.078444	-45.083567
19.077572	-46.083162
18.982244	-47.077137
18.759033	-48.051586
18.409203	-48.987982
18.029501	-49.913208
17.673070	-50.848033
17.316424	-51.782816
16.888119	-52.687195
16.464420	-53.593728
16.087099	-54.519266
15.770575	-55.468529
15.488312	-56.428432
15.237619	-57.397136
14.980538	-58.364178
14.770147	-59.341854
14.571252	-60.322301
14.394309	-61.306958
14.229193	-62.293181
13.991847	-63.264952
13.765311	-64.239558
13.613360	-65.228348
13.506132	-66.223090
13.451409	-67.218867
13.417810	-68.218710
13.465404	-69.217045
13.540049	-70.198660
14.034119	-70.951145
14.898056	-71.442016
15.863567	-71.670627
16.790798	-71.333461
17.634965	-70.855472
18.223235	-70.051529
18.974298	-69.394745
19.809933	-68.851555
20.723382	-68.444421
21.636195	-68.036530
22.608134	-67.814744
23.597998	-67.668048
24.597493	-67.702688
25.594510	-67.773047
26.575678	-67.958500
27.523541	-68.254462
28.402402	-68.732734
29.325572	-69.115019
30.290659	-69.379355
31.250346	-69.662786
32.132288	-70.120087
33.068694	-70.472856
33.946036	-70.941123
34.748371	-71.537660
35.583720	-72.088545
36.371370	-72.694583
37.115486	-73.351262
38.026502	-73.726267
38.843144	-74.261285
39.644366	-74.811027
40.282457	-74.082086
41.181125	-73.705229
41.404855	-74.259035
41.815147	-75.014615
41.284963	-75.842808
40.811141	-76.713662
40.206595	-77.509176
40.515258	-77.722249
41.391847	-77.249945
42.190863	-76.658741
42.976834	-76.039768
43.748339	-75.402745
44.667088	-75.026907
45.627314	-74.998892
46.624544	-74.956787
47.622072	-74.888037
48.622379	-74.908813
49.618905	-74.847182
50.604716	-74.675496
51.585308	-74.477783
52.558076	-74.243232
53.541749	-74.062167
54.521768	-73.859897
55.489985	-73.612832
56.447391	-73.322305
57.417972	-73.080097
58.377250	-72.796843
59.330441	-72.492961
60.263912	-72.132434
61.189428	-71.752867
62.104682	-71.348692
63.040925	-70.996700
63.959161	-70.599845
64.847894	-70.142887
65.716897	-69.646790
66.530537	-69.071648
67.239088	-68.368992
67.864653	-67.600949
68.701054	-67.056213
69.605584	-67.262375
70.516015	-67.500283
71.303512	-67.987860
71.731625	-68.842750
72.521301	-69.390787
73.181251	-70.095978
73.412562	-71.057270
73.519366	-72.050339
73.628971	-73.044155
73.693035	-74.041200
73.693338	-75.041859
73.662929	-76.041765
73.572246	-77.038111
73.428355	-78.028256
73.263302	-79.015225
73.130211	-80.006977
72.994849	-80.998451
72.861083	-81.990123
72.713342	-82.979827
72.544412	-83.966089
72.373754	-84.952104
72.230182	-85.942265
72.117681	-86.936594
71.976469	-87.927098
71.802619	-88.912554
71.683827	-89.905687
71.616023	-90.902945
71.555079	-91.901344
71.484468	-92.899479
71.474323	-93.899328
71.608447	-94.889519
71.702331	-95.885780
71.830985	-96.877790
71.998841	-97.864279
72.222345	-98.839037
72.501731	-99.799919
72.739410	-100.771333
73.053917	-101.720554
73.404280	-102.655343
73.997550	-103.459591
74.542943	-104.295961
75.118957	-105.114202
75.704997	-105.921658
76.526502	-106.480616
77.461276	-106.807746
78.321280	-106.401136
78.850345	-105.563376
79.570987	-104.896945
80.412128	-104.365031
81.390065	-104.174698
82.386698	-104.094382
83.372092	-104.007451
84.368611	-104.098332
85.334383	-104.347174
86.192033	-104.841431
86.955629	-105.477471
87.740033	-106.034035
88.551309	-106.588980
88.983248	-107.406497
88.697910	-108.362644
89.237567	-109.111092
89.649752	-109.930312
90.462843	-110.167841
91.404698	-110.014878
91.136438	-110.851264
90.696128	-111.737792
91.156995	-112.391585
91.935088	-111.862221
92.901347	-111.634715
93.900573	-111.664986
94.891478	-111.803473
