node_id,x,y,curvature,abs_curvature,position,sinuosity_local
0,41597.9095166254,3362463.779877077,0.0014078685428961046,0.0014078685428961046,0.0,1.1039286834012723
1,41517.9095166254,3362250.0094789644,0.0011612046870086348,0.0011612046870086348,0.0009871178943483261,1.1039286834012723
2,41533.24166477156,3362068.4477289305,0.0008169210391077715,0.0008169210391077715,0.0017751188960292335,1.1039286834012723
3,41715.405213527694,3361926.2841801746,0.0006100295598255169,0.0006100295598255169,0.0027744416272961524,1.1039286834012723
4,41895.71188846158,3361793.779877077,0.0003765878255423105,0.0003765878255423105,0.003742137828988478,1.1039286834012723
5,42095.34015095028,3361693.779877077,0.00017166413812954546,0.00017166413812954546,0.0047077400830471865,1.1039286834012723
6,42279.97197824185,3361571.7174154604,3.619640949493507e-05,3.619640949493507e-05,0.005664945064362556,1.0306159171198759
7,42457.9095166254,3361439.5191246457,-2.4703674351290263e-05,2.4703674351290263e-05,0.006623614384358539,1.0032597736307665
8,42626.01480450666,3361285.6745891958,-4.0672893061372764e-05,4.0672893061372764e-05,0.007609118020915861,1.0036642541032013
9,42812.4318446678,3361153.779877077,-4.896771010893536e-05,4.896771010893536e-05,0.008596707070666868,1.0046905179007177
10,43009.128698583336,3361032.5606951187,-6.493750111525311e-05,6.493750111525311e-05,0.009595933497151786,1.002976527192586
11,43178.363315151335,3360873.326078551,-8.200191102751608e-05,8.200191102751608e-05,0.010600873819117904,1.0025463618577224
12,43359.313660471875,3360742.3757332303,-9.093518982555256e-05,9.093518982555256e-05,0.011566859294555996,1.0030782525152175
13,43535.619344851744,3360586.0700488505,-9.321811473830546e-05,9.321811473830546e-05,0.012585838229795965,1.0042856196121999
14,43697.78289360788,3360423.9065000946,-9.86873384443254e-05,9.86873384443254e-05,0.013577646306853663,1.0047059211557652
15,43864.93230025423,3360273.779877077,-0.00011374822534154052,0.00011374822534154052,0.014549287362625618,1.0037252130933965
16,44033.82571987269,3360127.8636738295,-0.00013379368932733683,0.00013379368932733683,0.015514551387336067,1.004497069101036
