node_id,clay_pct,sand_pct,organic_matter,bulk_density
0,25.04967709885743,33.53551912568306,6.459513164431198,500.0
1,24.9768115942029,31.628985507246377,4.571014492753623,500.0
2,25.47648174623198,31.917067062858,4.0531457030994495,500.0
3,25.976151898261058,32.20514861846962,3.5352769134452755,500.0
4,26.475822050290137,32.49323017408124,3.0174081237911023,500.0
5,25.240303369642678,32.156902168380334,3.830474396823781,500.0
6,24.00478468899522,31.820574162679428,4.64354066985646,500.0
7,25.502392344497608,31.410287081339714,3.82177033492823,500.0
8,27.0,31.0,3.0,500.0
9,27.342659359676958,30.845255263916933,3.8152581482549754,500.0
10,27.685318719353916,30.690510527833865,4.630516296509951,500.0
11,25.402783146501744,31.21414766138384,2.6841901816776192,500.0
12,26.0,33.0,5.0,500.0
13,25.080246913580247,32.34320987654321,4.699999999999999,500.0
14,24.160493827160494,31.68641975308642,4.3999999999999995,500.0
15,25.950331125827812,31.524834437086092,2.7930463576158937,500.0
16,25.007246376811597,31.88949275362319,2.90036231884058,500.0
17,25.41220106650964,32.15580732489286,3.0054858998266107,500.0
18,25.81715575620768,32.42212189616253,3.1106094808126414,500.0
19,23.802197802197806,35.956043956043956,6.67032967032967,500.0
20,24.0,37.0,10.0,500.0
21,23.48888888888889,35.06666666666666,3.511111111111111,500.0
22,26.0,34.0,6.0,500.0
23,26.228571428571428,32.49285714285714,5.0,500.0
24,26.457142857142856,30.985714285714288,4.0,500.0
25,26.685714285714283,29.478571428571428,3.0,500.0
26,26.91428571428571,27.97142857142857,2.0,500.0
27,25.450000000000003,32.1,4.8500000000000005,500.0
28,25.225,32.03421052631579,3.4250000000000003,500.0
29,25.0,31.96842105263158,2.0,500.0
30,26.0,35.0,3.0,500.0
31,25.280135823429543,33.6723259762309,8.35823429541596,500.0
32,23.416452442159386,35.07969151670952,5.989717223650386,500.0
33,23.438144329896907,37.14432989690721,5.154639175257731,500.0
34,24.757207758168796,33.11030054167394,4.577319587628866,500.0
35,26.07627118644068,29.076271186440678,4.0,500.0
36,26.464964861513025,30.172281934683753,3.6707317073170733,500.0
37,26.853658536585368,31.26829268292683,3.3414634146341466,500.0
38,25.636792452830186,35.85377358490566,6.1226415094339615,500.0
39,25.0,33.0,4.0,500.0
40,25.793010752688172,34.02956989247311,2.9086021505376345,500.0
41,26.077190734599537,32.38394382474122,2.6599085519043313,500.0
42,26.3613707165109,30.73831775700934,2.411214953271028,500.0
43,24.907580477673935,31.492211838006227,3.2741433021806854,500.0
44,23.453790238836966,32.246105919003114,4.137071651090343,500.0
45,22.0,33.0,5.0,500.0
46,23.17515923566879,37.828025477707,2.8726114649681525,500.0
47,23.97150818926297,35.1718252388535,2.905055732484076,500.0
48,24.767857142857146,32.51562500000001,2.9374999999999996,500.0
49,24.973408619796167,31.822504156590092,3.37564238210399,500.0
